,Compound,Date,Negative,Neutral,Positive,Text
0,0.6696,Sun Jul 08 08:02:03 +0000 2018,0.572,0.0,0.428,😍🏝 Paradise is on our doorstep!  https://t.co/BWrCJcIzHl
1,0.0,Sat Jul 07 19:09:04 +0000 2018,1.0,0.0,0.0,'You don't look autistic' and other things not to say to people with autism. https://t.co/1GQS1Icvms
2,0.3818,Sat Jul 07 18:05:03 +0000 2018,0.852,0.0,0.148,"A South African woman is recovering in hospital after being discovered alive in a mortuary fridge.
👉… https://t.co/IhrhDG1W2A"
3,-0.6908,Sat Jul 07 17:05:04 +0000 2018,0.612,0.388,0.0,The women paid to cry at the funerals of strangers. https://t.co/oF6wA0ecwI
4,0.0,Sat Jul 07 16:03:07 +0000 2018,1.0,0.0,0.0,These are the nine TV shows you NEED to watch in July. ☀️📺🌡 https://t.co/p1pIcjGKap https://t.co/QCXpJOUav1
5,0.0,Sat Jul 07 16:01:37 +0000 2018,1.0,0.0,0.0,"What a moment! ️⚽️👏

England are into the #WorldCup semi-finals for the first time since 1990. 👉… https://t.co/jCgcFi9kjg"
6,0.0,Sat Jul 07 15:55:59 +0000 2018,1.0,0.0,0.0,RT @BBCSport: Hey Zlatan... you owe David Beckham dinner! 😉 #ENGSWE #bbcworldcup #ThreeLions https://t.co/Kf8auWDumI
7,0.2462,Sat Jul 07 15:55:41 +0000 2018,0.914,0.0,0.086,"RT @BBCSport: THEY'VE DONE IT!

England have reached a #WorldCup semi-final for the first time since 1990!

FT: #SWE 0-2 #ENG 

Reaction:
📺…"
8,0.4019,Sat Jul 07 15:08:04 +0000 2018,0.816,0.0,0.184,🖼 How can virtual reality help visually impaired people 'see' art? https://t.co/9Ry7wblTsn
9,0.0,Sat Jul 07 13:57:03 +0000 2018,1.0,0.0,0.0,"BREAKING: News just in on the #Poldark set... 

#ENGSWE #ENG #WorldCup 

https://t.co/SXiXO99gi4"
10,0.694,Sat Jul 07 13:14:05 +0000 2018,0.597,0.0,0.403,😍🖼 10-year-old Kareem is an OUTSTANDING artist. https://t.co/Ip4X0w1dpc
11,0.0,Sat Jul 07 12:51:07 +0000 2018,1.0,0.0,0.0,"Can the #ThreeLions go one step further? Today England face Sweden in the #WorldCup quarter-finals. #ENGSWE

Englan… https://t.co/z7uo1UoVvR"
12,0.8516,Sat Jul 07 12:36:36 +0000 2018,0.633,0.0,0.367,"RT @BBCOne: To all the Delias out there, we hope you find your Patsy. Happy Pride! 🌈 #Pride2018 https://t.co/uBSjFODU1S"
13,0.7579,Sat Jul 07 12:36:04 +0000 2018,0.649,0.0,0.351,RT @bbcthree: This Amazing Human uses coffee to give homeless people a second chance. https://t.co/NkhLSn6KTB
14,0.5719,Sat Jul 07 12:31:04 +0000 2018,0.812,0.0,0.188,"One. Step. Closer. ️⚽️➡️🏠

Here's what could happen if @England won the #WorldCup... 

#ENGSWE #ENG #ThreeLions

https://t.co/XXqMRopNvK"
15,0.2023,Sat Jul 07 12:02:02 +0000 2018,0.63,0.147,0.223,"Scientists have designed a special type of drug that helps the body eat and destroy cancerous cells.
👉… https://t.co/0kv12B5SRu"
16,0.5719,Sat Jul 07 11:03:09 +0000 2018,0.812,0.0,0.188,From vegetarian chilli to truffle pots: celebrate #WolrdChocolateDay in style with these recipes from @BBCFood. 😍🍫… https://t.co/mlGEbp1WII
17,0.4404,Sat Jul 07 10:07:03 +0000 2018,0.695,0.102,0.203,😂 #Wimbledon has started and suddenly EVERYONE is a tennis expert. https://t.co/TYjCmdDXxP
18,0.0,Sat Jul 07 09:04:06 +0000 2018,1.0,0.0,0.0,🏃🏻‍♂️ Take a #parkour tour of Glasgow with Scotland's @RobbieJGriffith. https://t.co/SlvAKocTJ2
19,-0.5526,Sat Jul 07 08:50:30 +0000 2018,0.707,0.214,0.079,"RT @BBCSport: Stop EVERYTHING you are doing! ✋✋✋

Cancel your wedding! 👰
Don't go shopping! 🛍
The holiday can wait! ✈️
Forget that first da…"
20,-0.4019,Sat Jul 07 08:50:23 +0000 2018,0.773,0.15,0.077,"RT @bbceastenders: “I realised what an important story it was to tell.”
@Bonnie_Langford and @DavoodGhadami discuss the knife crime storyli…"
21,-0.6486,Sat Jul 07 08:38:06 +0000 2018,0.699,0.301,0.0,RT @BBCNews: Steve Ditko: Spider-Man co-creator found dead at 90 https://t.co/Epd0LTJUKP
22,-0.34,Sat Jul 07 08:03:06 +0000 2018,0.738,0.16,0.102,"Seven years after her death, these previously unseen photographs show Amy Winehouse at ease in front of her friend'… https://t.co/bYoqpBhIeV"
23,-0.3818,Sat Jul 07 07:04:07 +0000 2018,0.822,0.178,0.0,"Yassine scavenged on the dump for eight years. Now he runs it. 

https://t.co/gUOhlrkv6P"
24,-0.357,Fri Jul 06 20:03:06 +0000 2018,0.885,0.115,0.0,"😺🐾 They sweat through their paws and can't taste sweet things... 

16 things you never knew about cats 👉… https://t.co/IOfDUpm49v"
25,0.0,Fri Jul 06 19:02:04 +0000 2018,1.0,0.0,0.0,"🎶 It's coming home 🎶

@Baddiel and @FrankOnTheRadio's song is sweeping the nation (again!)

Here's the story of how… https://t.co/FTaRd9YNiZ"
26,0.0516,Fri Jul 06 18:00:25 +0000 2018,0.455,0.299,0.247,😂 How annoying is this? https://t.co/Z2vtjhPZXH
27,0.0,Fri Jul 06 17:03:02 +0000 2018,1.0,0.0,0.0,"😲🐻 A new study reveals the hidden history of brown bears in Britain, suggesting they still roamed wild 1,500 years… https://t.co/MdvCpNLZHr"
28,0.4588,Fri Jul 06 16:01:31 +0000 2018,0.833,0.0,0.167,"RT @BBCOne: Sherlock is ALL the goals on #InternationalKissingDay 😍
#Sherlock #BBCSherlock https://t.co/yTcpX43pg7"
29,0.4939,Fri Jul 06 16:01:00 +0000 2018,0.802,0.0,0.198,Actual footage of me leaving the office at exactly 5pm... 👋 #FridayFeeling https://t.co/no9vchzANY
30,0.4199,Fri Jul 06 14:35:02 +0000 2018,0.9,0.0,0.1,"RT @BBCCiN: Thank you to everyone who got involved, fundraised and donated to BBC Children in Need last year! You have helped us to raise £…"
31,0.2023,Fri Jul 06 14:32:06 +0000 2018,0.769,0.096,0.135,A man had to be rescued by firefighters after he became stuck in melted tarmac in Newcastle. 😰🌡🚒… https://t.co/Vv4Gk8hhuH
32,0.0,Fri Jul 06 13:08:03 +0000 2018,1.0,0.0,0.0,RT @bbcpress: ‘Painfully funny’ bestseller #ThisIsGoingToHurt by @amateuradam to be adapted as eight-part @BBCTwo comedy-drama: https://t.c…
33,-0.296,Fri Jul 06 13:04:04 +0000 2018,0.896,0.104,0.0,"💵👟 A disintegrating trainer worn by Michael J Fox in the Back to the Future sequel has sold for $92,100 (£70,143).… https://t.co/NOGE8qFug2"
34,0.0,Fri Jul 06 12:00:19 +0000 2018,1.0,0.0,0.0,🐝🕺🐝 We all know someone who does the wasp dance. https://t.co/IJm0eTScUS
35,0.0,Fri Jul 06 11:02:07 +0000 2018,1.0,0.0,0.0,Beer glasses have been seized from a restaurant chain in Birmingham after they were found to be too small to contai… https://t.co/qzSLHjzuLO
36,-0.1531,Fri Jul 06 09:11:30 +0000 2018,0.762,0.129,0.109,"RT @BBCBreaking: Thai cave rescue death:

- Diver named as Saman Kunan
- 'His job was to deliver oxygen, did not have enough on his way bac…"
37,0.6114,Fri Jul 06 09:10:00 +0000 2018,0.834,0.0,0.166,"RT @BBCRadio2: ""I think you and @Pink are the top end of the rock and roll ladies, and keep at it!"" - @flo_tweet was truly touched by this…"
38,0.0,Fri Jul 06 09:03:45 +0000 2018,1.0,0.0,0.0,"RT @BBCSport: ""I'm not David Beckham, so we're in trouble."" 

Gareth Southgate's reaction to his new-found status as a style icon. https://…"
39,0.0,Fri Jul 06 09:03:29 +0000 2018,1.0,0.0,0.0,"RT @CBeebiesHQ: Long before @WaffleWonderDog, we had Pippin 🐶🐶

Hands up if you remember Come Outside 🙋‍♂️🙋

#CBeebiesNostalgia 
#Throwback…"
40,0.7269,Fri Jul 06 09:03:13 +0000 2018,0.724,0.0,0.276,"RT @BBCRadio3: A rare chance to hear this monumental, modern masterpiece.
Gruppen - Stockhausen's avant-garde work for three orchestras fro…"
41,-0.2481,Fri Jul 06 09:02:44 +0000 2018,0.818,0.107,0.075,"RT @5liveSport: ""You should get a red card if you fake it!"" 🔴

John McEnroe doesn't hold on when giving his thoughts on VAR and 'the guy fr…"
42,0.0516,Fri Jul 06 08:02:01 +0000 2018,0.43,0.28,0.29,💕🎈 Georgina is 96-years-old and organises parties to help combat loneliness. https://t.co/JRAkMDNny8
43,0.0,Fri Jul 06 07:24:01 +0000 2018,1.0,0.0,0.0,"Why does alcohol affect women more than men?
👉 https://t.co/UNwg06vOl3 https://t.co/HBR4lEMGXV"
44,0.0,Fri Jul 06 07:02:05 +0000 2018,1.0,0.0,0.0,"😂🐶🎨 But your dog probably wouldn't sit still long enough for this, right? https://t.co/U2Mdq3bOda"
45,0.5267,Thu Jul 05 19:03:03 +0000 2018,0.833,0.0,0.167,"Social media companies are deliberately addicting users to their products for financial gain, say Silicon Valley in… https://t.co/5Vn7t2h1SF"
46,-0.296,Thu Jul 05 18:00:24 +0000 2018,0.784,0.216,0.0,The town where even the graves are bulletproof. https://t.co/MDyzEuNg3y
47,0.0,Thu Jul 05 17:04:07 +0000 2018,1.0,0.0,0.0,🎓📚 A Belgian boy has graduated secondary school aged eight after completing six years' study in just a year and a h… https://t.co/eStTYhpek8
48,-0.6705,Thu Jul 05 16:02:03 +0000 2018,0.727,0.273,0.0,"In South Africa, three women are killed by their partners every day. https://t.co/Vg7jDZJgU6"
49,0.5719,Thu Jul 05 16:00:34 +0000 2018,0.866,0.0,0.134,"RT @BBCNewsPR: Watch the evolution of our evening news jingles as we celebrate the 64th anniversary of BBC TV News. Show your age, which on…"
50,0.0,Thu Jul 05 15:46:20 +0000 2018,1.0,0.0,0.0,RT @bbceastenders: It's coming home. #ENG https://t.co/Dp1R1SVjB4
